projectid	pg_ebook_number	title	author	pages_total
projectID3fc3d7d03c613	79063	Designs on prehistoric Hopi pottery {R}	Fewkes, Jesse Walter	98
projectID408c1dd9b9318	79369	Bell's Cathedrals: Southwell (1898)	Bell's Cathedral Series	138
projectID49869a80942c1	78978	The coach horn: what to blow and how to blow it (7th Edition) {P1->P1}	Old Guard (pseudonym)	27
projectID4c4faab3b47a2	79396	Life Histories of North American Cuckoos, Goatsuckers, Hummingbirds and Their Allies - Part I	Bent, Arthur Cleveland	292
projectID53e7cec23db22	79064	Those about Trench {T1->P1}	Edwin Herbert Lewis 1866-1938	333
projectID5844552f5801c	79330	Book review digest, v. 5, 1909	H.W. Wilson Company	1010
projectID5bfdc3b87e7d7	78937	Scotland Vol. 1 of 4 (1892), The History of Civilisation in	Mackintosh, John	476
projectID5bfdc3e1493a0	78939	Scotland Vol. 2 of 4 (1893), The History of Civilisation in	Mackintosh, John	459
projectID5bfdc3f7260a7	78940	Scotland Vol. 3 of 4 (1895), The History of Civilisation in	Mackintosh, John	471
projectID5bfdc4091e596	78941	Scotland Vol. 4 of 4 (1896), The History of Civilisation in	Mackintosh, John	536
projectID5ce3bb4460afc	79085	Things I Know About Kings, Celebrities, and Crooks	Le Queux, William	350
projectID5d19bdb214911	79129	Thorstein of the Mere	Collingwood, W. G.	336
projectID5d20119c29920	78885	An Island Garden	Celia Thaxter	185
projectID5dc798788ade0	79041	The Zoology of the voyage of H.M.S. Beagle [Vol. 5 of 5]	Darwin, Charles	140
projectID5dd0f5632612c	78657	Bransford in Arcadia	Rhodes, Eugene Manlove	243
projectID5e2a9d2282633	79316	The Stations of the Cross	Thurston, Herbert	235
projectID5e6dec548a3fb	78721	With the Lost Legion in New Zealand	Hamilton-Browne, G.	432
projectID5e9463a203379	78915	There Is Confusion	Fauset, Jessie Redmon	297
projectID5e947ffbdb8c7	79084	The Law and the Woman	Parry, Edward Abbott	129
projectID5eb6b77f15498	79322	The Black Cat (Vol. I, No. 4)	Various	68
projectID5ec94e571536a	78901	Books in General	Squire, John Collings	279
projectID5f09fa6d48bb1	79053	The Red Gods	d'Esme, Jean	373
projectID5f23c394ae138	78696	Hungary and Democracy	Street, Cecil J. C.	211
projectID5f26058369f66	78730	Knickerbocker's History of New York : Van Twiller Edition : Volume 2	Irving, Washington, author: Kemble, Edward W. Illustrator	399
projectID5f261fd0baa14	79121	In the land of the gods	Bacon, Alice Mabel	287
projectID5f3853f43f4fb	79122	The Mouse miller and other stories	Don-Carlos, Cooke	120
projectID5f5f9b40ee07a	78934	Under Dewey at Manila	Stratemeyer, Edward [illus. A. B. Shute]	311
projectID5f6e15da7bcb3	78918	Senator Fulbright's Secret Memorandum	Bales, James D.	116
projectID5f917af49e169	79072	The voter's text book: comprising a collection of the most important documents and statistics connected with the political history of America	Hiatt, James M.	423
projectID5f951c42847dc	79213	The natural history of ants	Huber, M. P.	451
projectID5f9f054f45df1	78802	The early courts of Pennsylvania	Loyd, William Henry	301
projectID5fa44b0308ca9	79038	Fables of Æsop and other eminent mythologists	L'Estrange, Roger	534
projectID5fa97671babcf	78674	The English works of Thomas Hobbes of Malmesbury, vol 7 of 11	Hobbes, Thomas	488
projectID5fb93b465aba5	79366	The Battles of the Somme	Gibbs, Philip	390
projectID600ea405c39dc	79090	First Buckinghamshire Battalion 1914-1919, The	Wright Capt. P.L. D.S.O., M.C.	310
projectID60214f04ef677	78920	The Money-Spider	Le Queux, William	370
projectID602ce856921f7	79393	James Branch Cabell	Van Doren, Carl	96
projectID603d7d5e04ca0	79089	St Baldred of the Bass, a Pictish Legend	Miller, James	426
projectID604e52c556689	79290	The fatal marriage;	Southworth, E. D. E. N.	480
projectID605740c77a3f4	78957	In the American Jungle [1925-1936]	Frank, Waldo David	339
projectID60579ff9521e3	79198	The Medical Aspects of Death, and The Medical Aspects of the Human Mind	Harrison, James Bower	178
projectID605af232d8c23	78811	War Medals of the British Army, and how they were won,	Carter, Thomas	725
projectID609bfa0449bdf	78772	Dead men's shoes vol. I [1876]	Braddon, M. E.	312
projectID609ec6922f462	78773	Dead men's shoes vol. II [1876]	Braddon, M. E.	328
projectID609ec6c0654dd	78774	Dead men's shoes vol. III [1876]	Braddon, M. E.	348
projectID60bed8e6d14f3	79164	American honey plants	Pellett, Frank Chapman	301
projectID60c5e4cab3392	78986	Ralph Waldo Emerson: How to Know Him	Crothers, Samuel McChord	247
projectID60cb22dca3272	78922	Is Man a Free Agent: The Law of Suggestion....	Loryea, James H.	260
projectID60cd0275be0de	79274	Coffee: Its History, Classification and Description	Walsh, Joseph M.	317
projectID60d4726bbaba5	78884	The Looker-On	Le Queux, William	318
projectID60d7b6848530b	79261	Under the Yankee Ensign	Barbour, Ralph Henry	352
projectID60da6e0f35953	79319	The idyl of the split-bamboo	Holden, George Parker	335
projectID60e8bb8eb8f50	78754	The Adventure Club With the Fleet	Barbour, Ralph Henry [illus. Edward C. Caswell]	312
projectID610a79135ca89	79228	Ernie Pyle in England	Pyle, Ernest Taylor	242
projectID611a6c05a7327	78846	The moors and the fens, Vol. 2 of 3	Trafford, F. G.	327
projectID611e973b9e1fd	79086	Three-Base Benson	Barbour, Ralph Henry	291
projectID612850c7a7317	78798	The Battle of Harlem Heights	Emmet, Thomas Addis, M.D.	16
projectID6133a0b4ae329	78945	Maxwell Drewitt Vol. 1	Trafford, F.G.	328
projectID6133a1c6c9da9	79387	Maxwell Drewitt Vol. 2	Trafford, F.G.	312
projectID61549b7b828e2	78789	The Book of Talismans, Amulets and Zodiacal Gems	William Thomas & Kate Pavitt	342
projectID615b801fe103e	79027	Tolstoy on art	Tolstoy, Leo; Maude, Aylmer, editor	550
projectID615bb00c9e646	78972	Figure piping: its methods and uses	Russell, F., M.C.A.	68
projectID61674096e250a	78692	Grocers' manual: containing recipes, formulas and instructions for the manufacture of baking powders, flavoring extracts, essences, condiments, etc., in their purity, also their imitations and adulterations.	Anonymous	93
projectID6167baafefdd5	78892	The Flying Buccaneer	Binns, Jack	311
projectID616f55a978f38	79255	Buffalo Bill's Death Message; or, In the Face of Doom	Ingraham, Prentiss	322
