projectid	pg_ebook_number	state	title	author	pages_total
projectID635d2f6868e61	78848	proj_submit_pgposted	Jim Hanvey, Detective	Cohen, Octavus Roy	293
projectID6369c3c4591b6	79092	proj_submit_pgposted	The lavender dragon	Phillpotts, Eden	208
projectID6372733dd3088	78716	proj_submit_pgposted	Sport and science on the Sino-Mongolian frontier [1918]	Sowerby, Arthur de Carle	347
projectID637885d10f22a	78980	proj_submit_pgposted	Stories of the Persian wars	Church, Alfred John	218
projectID639c88078ca55	79047	proj_submit_pgposted	Double Jeopardy	Goldsmith, Martin M.	249
projectID63a518508f738	78818	proj_submit_pgposted	Louisa May Alcott, the children's friend	Cheney, Ednah Dow	59
projectID63a5e627b8f7c	78803	proj_submit_pgposted	Jenny Lind the artist, 1820-1851	Holland, Henry Scott	502
projectID63aebe2841066	79238	proj_submit_pgposted	With the German armies in the West [1915]	Hedin, Sven Anders	542
projectID63b4e1e68a96d	79276	proj_submit_pgposted	Anthology of Russian literature from the earliest period to the present time, vol. 2	Wiener, Leo	521
projectID63d812d70799f	79088	proj_submit_pgposted	A prisoner of the Reds [1921]	McCullagh, Francis.	380
projectID63d85a522ca1f	78796	proj_submit_pgposted	The crown jewels of England	Younghusband, G. J.; Davenport, Cyril	134
projectID6401b235539dd	79139	proj_submit_pgposted	The library of Photius (Vol. 1 of 1) [1920]	Photius	272
projectID6415fed521aa5	78936	proj_submit_pgposted	The Eighteen Nineties: A Review of Art and Ideas at the Close of the Nineteenth Century	Jackson, Holbrook	364
projectID6425be32e5169	79079	proj_submit_pgposted	Life in Hawaii. [1882]	Coan, Titus	351
projectID64362013dc978	78917	proj_submit_pgposted	The adventures of a donkey	Ségur, Sophie	285
projectID6439ebda1461d	79371	proj_submit_pgposted	Saint Mungo's city, vol. 1	Tytler, Sarah	321
projectID643ab41f2b9e6	79372	proj_submit_pgposted	Saint Mungo's city, vol. 2	Tytler, Sarah	319
projectID643eab65b2c4f	79373	proj_submit_pgposted	Saint Mungo's city, vol. 3	Tytler, Sarah	328
projectID6444e503f11ce	78770	proj_submit_pgposted	On trail and rapid by dog-sled & canoe [1912]	Cody, Hiram Alfred	253
projectID6451031a6923e	78748	proj_submit_pgposted	Four Plays	Milne, A. A.	272
