projectid	pg_ebook_number	state	title	author	pages_total
projectID3fc3d7d03c613	79063	proj_submit_pgposted	Designs on prehistoric Hopi pottery {R}	Fewkes, Jesse Walter	98
projectID408c1dd9b9318	79369	proj_submit_pgposted	Bell's Cathedrals: Southwell (1898)	Bell's Cathedral Series	138
projectID49869a80942c1	78978	proj_submit_pgposted	The coach horn: what to blow and how to blow it (7th Edition) {P1->P1}	Old Guard (pseudonym)	27
projectID4c4faab3b47a2	79396	proj_submit_pgposted	Life Histories of North American Cuckoos, Goatsuckers, Hummingbirds and Their Allies - Part I	Bent, Arthur Cleveland	292
projectID53e7cec23db22	79064	proj_submit_pgposted	Those about Trench {T1->P1}	Edwin Herbert Lewis 1866-1938	333
projectID5844552f5801c	79330	proj_submit_pgposted	Book review digest, v. 5, 1909	H.W. Wilson Company	1010
projectID5bfdc3b87e7d7	78937	proj_submit_pgposted	Scotland Vol. 1 of 4 (1892), The History of Civilisation in	Mackintosh, John	476
projectID5bfdc3e1493a0	78939	proj_submit_pgposted	Scotland Vol. 2 of 4 (1893), The History of Civilisation in	Mackintosh, John	459
projectID5bfdc3f7260a7	78940	proj_submit_pgposted	Scotland Vol. 3 of 4 (1895), The History of Civilisation in	Mackintosh, John	471
projectID5bfdc4091e596	78941	proj_submit_pgposted	Scotland Vol. 4 of 4 (1896), The History of Civilisation in	Mackintosh, John	536
projectID5ce3bb4460afc	79085	proj_submit_pgposted	Things I Know About Kings, Celebrities, and Crooks	Le Queux, William	350
projectID5d19bdb214911	79129	proj_submit_pgposted	Thorstein of the Mere	Collingwood, W. G.	336
projectID5d20119c29920	78885	proj_submit_pgposted	An Island Garden	Celia Thaxter	185
projectID5dc798788ade0	79041	proj_submit_pgposted	The Zoology of the voyage of H.M.S. Beagle [Vol. 5 of 5]	Darwin, Charles	140
projectID5dd0f5632612c	78657	proj_submit_pgposted	Bransford in Arcadia	Rhodes, Eugene Manlove	243
projectID5e2a9d2282633	79316	proj_submit_pgposted	The Stations of the Cross	Thurston, Herbert	235
projectID5e6dec548a3fb	78721	proj_submit_pgposted	With the Lost Legion in New Zealand	Hamilton-Browne, G.	432
projectID5e9463a203379	78915	proj_submit_pgposted	There Is Confusion	Fauset, Jessie Redmon	297
projectID5e947ffbdb8c7	79084	proj_submit_pgposted	The Law and the Woman	Parry, Edward Abbott	129
projectID5eb6b77f15498	79322	proj_submit_pgposted	The Black Cat (Vol. I, No. 4)	Various	68
projectID5ec94e571536a	78901	proj_submit_pgposted	Books in General	Squire, John Collings	279
projectID5f09fa6d48bb1	79053	proj_submit_pgposted	The Red Gods	d'Esme, Jean	373
projectID5f23c394ae138	78696	proj_submit_pgposted	Hungary and Democracy	Street, Cecil J. C.	211
projectID5f26058369f66	78730	proj_submit_pgposted	Knickerbocker's History of New York : Van Twiller Edition : Volume 2	Irving, Washington, author: Kemble, Edward W. Illustrator	399
projectID5f261fd0baa14	79121	proj_submit_pgposted	In the land of the gods	Bacon, Alice Mabel	287
projectID5f3853f43f4fb	79122	proj_submit_pgposted	The Mouse miller and other stories	Don-Carlos, Cooke	120
projectID5f5f9b40ee07a	78934	proj_submit_pgposted	Under Dewey at Manila	Stratemeyer, Edward [illus. A. B. Shute]	311
projectID5f6e15da7bcb3	78918	proj_submit_pgposted	Senator Fulbright's Secret Memorandum	Bales, James D.	116
projectID5f917af49e169	79072	proj_submit_pgposted	The voter's text book: comprising a collection of the most important documents and statistics connected with the political history of America	Hiatt, James M.	423
projectID5f951c42847dc	79213	proj_submit_pgposted	The natural history of ants	Huber, M. P.	451
projectID5f9f054f45df1	78802	proj_submit_pgposted	The early courts of Pennsylvania	Loyd, William Henry	301
projectID5fa44b0308ca9	79038	proj_submit_pgposted	Fables of Æsop and other eminent mythologists	L'Estrange, Roger	534
projectID5fa97671babcf	78674	proj_submit_pgposted	The English works of Thomas Hobbes of Malmesbury, vol 7 of 11	Hobbes, Thomas	488
projectID5fb93b465aba5	79366	proj_submit_pgposted	The Battles of the Somme	Gibbs, Philip	390
projectID600ea405c39dc	79090	proj_submit_pgposted	First Buckinghamshire Battalion 1914-1919, The	Wright Capt. P.L. D.S.O., M.C.	310
projectID60214f04ef677	78920	proj_submit_pgposted	The Money-Spider	Le Queux, William	370
projectID602ce856921f7	79393	proj_submit_pgposted	James Branch Cabell	Van Doren, Carl	96
projectID603d7d5e04ca0	79089	proj_submit_pgposted	St Baldred of the Bass, a Pictish Legend	Miller, James	426
projectID604e52c556689	79290	proj_submit_pgposted	The fatal marriage;	Southworth, E. D. E. N.	480
projectID605740c77a3f4	78957	proj_submit_pgposted	In the American Jungle [1925-1936]	Frank, Waldo David	339
